fold,model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
6,Choquet 2-additive scaled-q,market_loss_1d,-0.03460289190681471,0.03460289190681471,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.007706604914119129,-0.051501973394296054,-0.047311239045442086
6,Choquet 2-additive scaled-q,negative_momentum_21d,-0.09543524921286718,0.09543524921286718,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.2457902281872556,-0.01923543335834074,-0.1758311988921958
6,Choquet 2-additive scaled-q,realized_volatility_20d,0.10246504980665175,0.10246504980665175,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),0.06619439459451508,0.14482310827666414,-0.11885999226410376
6,Choquet 2-additive scaled-q,term_spread_10y_2y_pct,-0.0008473629692125548,0.0008473629692125548,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.30553454616758174,0.1737203897112546,-0.09575054610357972
6,Choquet 2-additive scaled-q,vix,-0.03698505717892501,0.03698505717892501,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.1548768500424849,0.021768765501507546,-0.28953501609716786
6,Choquet 2-additive scaled-q L1,average_equity_correlation_60d,0.04054199824025517,0.04054199824025517,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07337540450528827,0.0379268612829961,-0.2143135681908448
6,Choquet 2-additive scaled-q L1,baa_credit_spread_pct,-0.0247181849711848,0.0247181849711848,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.17511466106810022,-0.1541245012345101,-0.04029670259599807
6,Choquet 2-additive scaled-q L1,drawdown_severity,-0.04620218912651925,0.04620218912651925,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.13282770410606612,-0.08428192656194372,-0.2631612455433929
6,Choquet 2-additive scaled-q L1,lagged_portfolio_loss_1d,-0.03568524986614877,0.03568524986614877,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.014214655616570303,-0.048835929764287585,-0.04705803014657694
6,Choquet 2-additive scaled-q L1,liquidity_stress_20d,0.01618122307749976,0.01618122307749976,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07322304468488357,-0.015220904281409214,0.031433053615835434
6,Choquet 2-additive scaled-q L1,market_loss_1d,-0.03460289190681471,0.03460289190681471,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.007706604914119129,-0.051501973394296054,-0.047311239045442086
6,Choquet 2-additive scaled-q L1,negative_momentum_21d,-0.09543524921286718,0.09543524921286718,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.2457902281872556,-0.01923543335834074,-0.1758311988921958
6,Choquet 2-additive scaled-q L1,realized_volatility_20d,0.10246504980665175,0.10246504980665175,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),0.06619439459451508,0.14482310827666414,-0.11885999226410376
6,Choquet 2-additive scaled-q L1,term_spread_10y_2y_pct,-0.0008473629692125548,0.0008473629692125548,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.30553454616758174,0.1737203897112546,-0.09575054610357972
6,Choquet 2-additive scaled-q L1,vix,-0.03698505717892501,0.03698505717892501,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.1548768500424849,0.021768765501507546,-0.28953501609716786
6,Fuzzy Choquet neural network,average_equity_correlation_60d,0.04054199824025517,0.04054199824025517,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07337540450528827,0.0379268612829961,-0.2143135681908448
6,Fuzzy Choquet neural network,baa_credit_spread_pct,-0.0247181849711848,0.0247181849711848,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.17511466106810022,-0.1541245012345101,-0.04029670259599807
6,Fuzzy Choquet neural network,drawdown_severity,-0.04620218912651925,0.04620218912651925,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.13282770410606612,-0.08428192656194372,-0.2631612455433929
6,Fuzzy Choquet neural network,lagged_portfolio_loss_1d,-0.03568524986614877,0.03568524986614877,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.014214655616570303,-0.048835929764287585,-0.04705803014657694
6,Fuzzy Choquet neural network,liquidity_stress_20d,0.01618122307749976,0.01618122307749976,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07322304468488357,-0.015220904281409214,0.031433053615835434
6,Fuzzy Choquet neural network,market_loss_1d,-0.03460289190681471,0.03460289190681471,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.007706604914119129,-0.051501973394296054,-0.047311239045442086
6,Fuzzy Choquet neural network,negative_momentum_21d,-0.09543524921286718,0.09543524921286718,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.2457902281872556,-0.01923543335834074,-0.1758311988921958
6,Fuzzy Choquet neural network,realized_volatility_20d,0.10246504980665175,0.10246504980665175,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),0.06619439459451508,0.14482310827666414,-0.11885999226410376
6,Fuzzy Choquet neural network,term_spread_10y_2y_pct,-0.0008473629692125548,0.0008473629692125548,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.30553454616758174,0.1737203897112546,-0.09575054610357972
6,Fuzzy Choquet neural network,vix,-0.03698505717892501,0.03698505717892501,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.1548768500424849,0.021768765501507546,-0.28953501609716786
6,Monotone linear,average_equity_correlation_60d,0.04054199824025517,0.04054199824025517,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07337540450528827,0.0379268612829961,-0.2143135681908448
6,Monotone linear,baa_credit_spread_pct,-0.0247181849711848,0.0247181849711848,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.17511466106810022,-0.1541245012345101,-0.04029670259599807
6,Monotone linear,drawdown_severity,-0.04620218912651925,0.04620218912651925,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.13282770410606612,-0.08428192656194372,-0.2631612455433929
6,Monotone linear,lagged_portfolio_loss_1d,-0.03568524986614877,0.03568524986614877,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.014214655616570303,-0.048835929764287585,-0.04705803014657694
6,Monotone linear,liquidity_stress_20d,0.01618122307749976,0.01618122307749976,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07322304468488357,-0.015220904281409214,0.031433053615835434
6,Monotone linear,market_loss_1d,-0.03460289190681471,0.03460289190681471,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.007706604914119129,-0.051501973394296054,-0.047311239045442086
6,Monotone linear,negative_momentum_21d,-0.09543524921286718,0.09543524921286718,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.2457902281872556,-0.01923543335834074,-0.1758311988921958
6,Monotone linear,realized_volatility_20d,0.10246504980665175,0.10246504980665175,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),0.06619439459451508,0.14482310827666414,-0.11885999226410376
6,Monotone linear,term_spread_10y_2y_pct,-0.0008473629692125548,0.0008473629692125548,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.30553454616758174,0.1737203897112546,-0.09575054610357972
6,Monotone linear,vix,-0.03698505717892501,0.03698505717892501,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.1548768500424849,0.021768765501507546,-0.28953501609716786
6,OLS oriented,average_equity_correlation_60d,0.04054199824025517,0.04054199824025517,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07337540450528827,0.0379268612829961,-0.2143135681908448
6,OLS oriented,baa_credit_spread_pct,-0.0247181849711848,0.0247181849711848,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.17511466106810022,-0.1541245012345101,-0.04029670259599807
6,OLS oriented,drawdown_severity,-0.04620218912651925,0.04620218912651925,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.13282770410606612,-0.08428192656194372,-0.2631612455433929
6,OLS oriented,lagged_portfolio_loss_1d,-0.03568524986614877,0.03568524986614877,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.014214655616570303,-0.048835929764287585,-0.04705803014657694
6,OLS oriented,liquidity_stress_20d,0.01618122307749976,0.01618122307749976,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.07322304468488357,-0.015220904281409214,0.031433053615835434
6,OLS oriented,market_loss_1d,-0.03460289190681471,0.03460289190681471,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.007706604914119129,-0.051501973394296054,-0.047311239045442086
6,OLS oriented,negative_momentum_21d,-0.09543524921286718,0.09543524921286718,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.2457902281872556,-0.01923543335834074,-0.1758311988921958
6,OLS oriented,realized_volatility_20d,0.10246504980665175,0.10246504980665175,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),0.06619439459451508,0.14482310827666414,-0.11885999226410376
6,OLS oriented,term_spread_10y_2y_pct,-0.0008473629692125548,0.0008473629692125548,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.30553454616758174,0.1737203897112546,-0.09575054610357972
6,OLS oriented,vix,-0.03698505717892501,0.03698505717892501,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),995,training only (frozen before validation refit),-0.1548768500424849,0.021768765501507546,-0.28953501609716786
